firm,benefits,culture,diversity & inclusion,flexibility,growth,job role clarity,job security,management,pay,people,performance feedback,remote work,stress & pressure,teamwork & collaboration,tools & resources,training & onboarding,travel,work-life balance
Freshfields-Bruckhaus-Deringer,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.5
GLL,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
GlaxoSmithKline,4.0,4.0,2.0,3.6666666666666665,3.75,0.0,0.0,3.5,2.5,3.3333333333333335,2.5,5.0,0.0,5.0,1.0,0.0,3.0,4.5
Goldman-Sachs,4.0,3.3333333333333335,4.0,0.0,2.0,3.0,0.0,2.0,4.0,4.5,0.0,0.0,3.0,2.5,2.5,0.0,0.0,2.5
Google,4.5,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0
Grant-Thornton,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Grant-Thornton-UK-LLP,0.0,3.3333333333333335,0.0,0.0,3.0,4.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,2.0
Grosvenor-Casinos,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
H-and-M,2.0,2.5,0.0,4.0,1.0,2.5,0.0,1.3333333333333333,3.4,1.3333333333333333,0.0,0.0,0.0,2.5,2.0,0.0,0.0,3.0
HC-One,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,2.5,0.0,0.0
HM-Prison-Service,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.5,0.0,2.0,4.0
HMCTS,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
HSBC-Holdings,4.333333333333333,4.0,0.0,3.6666666666666665,1.8,1.5,0.0,2.0,2.75,4.333333333333333,2.0,5.0,0.0,1.5,5.0,0.0,2.0,2.4
Hampshire-County-Council,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harris-Federation,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Harrods,4.0,4.5,5.0,0.0,1.0,0.0,0.0,4.5,1.0,4.5,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.3333333333333335
Harvey-Nichols,0.0,0.0,0.0,2.5,1.0,0.0,0.0,2.5,1.0,1.0,0.0,0.0,0.0,2.5,0.0,4.0,0.0,1.0
Hastings-Direct,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hays,4.0,3.8,0.0,3.0,4.125,5.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,5.0,3.2,4.75,0.0,2.4
Her-Majesty-s-Revenue-and-Customs,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,4.5
Hilton,5.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
Hitachi-Capital-UK,5.0,5.0,0.0,0.0,2.5,0.0,0.0,2.0,4.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Holiday-Inn,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Home-Office,0.0,1.0,0.0,4.0,0.0,2.0,0.0,1.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
Hyatt,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
IBM,4.5,3.0,4.5,4.0,2.625,2.5,1.0,1.6,1.7142857142857142,2.5555555555555554,0.0,4.0,2.0,2.5,3.0,3.0,4.0,3.0
IHG-Hotels-and-Resorts,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
ISS-Facility-Services,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Immediate-Media-Company,0.0,2.0,0.0,0.0,4.5,0.0,0.0,5.0,0.0,3.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Imperial-College-London,4.0,1.0,0.0,4.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0
Interserve,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Irwin-Mitchell,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.5,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0
J-P-Morgan,4.333333333333333,3.4,4.0,4.0,2.8333333333333335,0.0,0.0,2.8,2.3333333333333335,2.3333333333333335,1.5,0.0,1.6666666666666667,3.3333333333333335,0.0,0.0,3.0,3.2
J-Sainsbury,4.0,3.75,4.5,3.5555555555555554,3.0,2.6,0.0,1.9285714285714286,3.4444444444444446,3.4545454545454546,0.0,0.0,2.0,3.5555555555555554,3.125,3.5,2.5,2.764705882352941
JLL,5.0,0.0,5.0,5.0,4.0,0.0,0.0,1.0,3.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
JP-Boden-and-Co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Jaguar-Land-Rover,4.0,0.0,0.0,4.0,1.0,4.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,4.5,0.0,2.0,0.0,4.25
James-Hay-Partnership,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
John-Lewis-and-Partners,4.571428571428571,4.0,0.0,2.0,2.3333333333333335,1.0,0.0,2.6,3.6666666666666665,4.5,3.0,0.0,1.3333333333333333,4.4,5.0,0.0,0.0,2.2857142857142856
KPMG,1.0,3.8,0.0,4.0,1.6,1.0,0.0,2.0,1.4,4.142857142857143,4.0,4.0,1.0,3.25,4.0,4.0,1.0,2.2857142857142856
Kier-Group,5.0,4.5,0.0,0.0,5.0,5.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,4.5,5.0,0.0,0.0,0.0
King-s-College-London,4.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,3.0,0.0,0.0,2.5,4.0,3.4,0.0,0.0,0.0
Kingsley-Healthcare,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Knight-Frank,0.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,4.5,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0
Korn-Ferry,3.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0
Kurt-Geiger,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
LSE,0.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
